"title","url","stars","name","reviewUrl","text"
"The papa's business","https://www.google.com/maps/search/?api=1&query=The%20papa's%20business&query_place_id=ChIJaTDtqNkDDTkRv-ZtJMLuGkU","4","Shubhangi Gupta","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25aRVFqSnZXVTFIZFVGUFNFVmlVakY0YW5ZNWJXYxAB!2m1!1s0x0:0x451aeec2246de6bf!3m1!1s2@1:CAIQACodChtycF9oOnZEQjJvWU1HdUFPSEViUjF4anY5bWc%7C0d0kYiky9KF%7C?hl=en","Staff and ambience was amazing but the service was slow"
"The papa's business","https://www.google.com/maps/search/?api=1&query=The%20papa's%20business&query_place_id=ChIJaTDtqNkDDTkRv-ZtJMLuGkU","2","Yashvi Thakur","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pkSFlYbENNM0F0ZHpoVlZDMVdZbXhEYW5CbFVVRRAB!2m1!1s0x0:0x451aeec2246de6bf!3m1!1s2@1:CAIQACodChtycF9oOjdHYXlCM3AtdzhVVC1WYmxDanBlUUE%7C0d0kVzSH058%7C?hl=en","Average food and vibe"
"The papa's business","https://www.google.com/maps/search/?api=1&query=The%20papa's%20business&query_place_id=ChIJaTDtqNkDDTkRv-ZtJMLuGkU","5","Vanshika Thakur","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21wYVQxaEpNa1poYldkU05XTjRRVWhZYTE5TGEwRRAB!2m1!1s0x0:0x451aeec2246de6bf!3m1!1s2@1:CAIQACodChtycF9oOmpaT1hJMkZhbWdSNWN4QUhYa19La0E%7C0d0kVETa1cb%7C?hl=en","The ambiance was really good, the food was superb, and I loved the overall experience 👌😍🥰"
